0,0,2.53E-06,0,23.5968,5.6,0,Li,20,Ti,80,Ni,100,3,22,28,B2,18,18_3_20_22_80_28_100_B2_1.csv,20,0,0,0,0,0,0,80,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,18
0.570845,0,0.599355413,0,22.52748,5.6,187.793798,Li,40,Ti,60,Fe,100,3,22,26,B2,19,19_3_40_22_60_26_100_B2_1.csv,40,0,0,0,0,0,0,60,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,19
0,0,0,0,9.10308,5.6,0.000210526,Li,40,Ti,60,Co,100,3,22,27,B2,20,20_3_40_22_60_27_100_B2_1.csv,40,0,0,0,0,0,0,60,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,20
0,0,3.13E-07,0,24.41876,5.6,0.000473658,Li,40,Ti,60,Ni,100,3,22,28,B2,21,21_3_40_22_60_28_100_B2_1.csv,40,0,0,0,0,0,0,60,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,21
0.852461,0,0.559611399,0,23.3671,5.6,284.2435669,Li,60,Ti,40,Fe,100,3,22,26,B2,22,22_3_60_22_40_26_100_B2_1.csv,60,0,0,0,0,0,0,40,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,22
8.00E-06,0,3.57E-05,0,19.7654,5.4,0,Li,60,Ti,40,Co,100,3,22,27,B2,23,23_3_60_22_40_27_100_B2_1.csv,60,0,0,0,0,0,0,40,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,23
0,0,0,0,16.69928,5.6,0,Li,60,Ti,40,Ni,100,3,22,28,B2,24,24_3_60_22_40_28_100_B2_1.csv,60,0,0,0,0,0,0,40,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,24
1.134296,0,0.59909482,0,23.16024,5.6,316.5622717,Li,80,Ti,20,Fe,100,3,22,26,B2,25,25_3_80_22_20_26_100_B2_1.csv,80,0,0,0,0,0,0,20,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,25
0.488568,0,0.76151879,0,35.53014,5.4,102.8747643,Li,80,Ti,20,Co,100,3,22,27,B2,26,26_3_80_22_20_27_100_B2_1.csv,80,0,0,0,0,0,0,20,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,26
0,0,1.14E-06,0,5.63294,5.4,0,Li,80,Ti,20,Ni,100,3,22,28,B2,27,27_3_80_22_20_28_100_B2_1.csv,80,0,0,0,0,0,0,20,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,27
